year,group,n_enr,n_att
2010,todos,4611614,3252382
2010,bra_ama,2083838,1511964
2010,pre_par_ind,2373494,1635043
2011,todos,5366931,3855988
2011,bra_ama,2357005,1746255
2011,pre_par_ind,2872341,2013640
2012,todos,5791065,4083143
2012,bra_ama,2553692,1856384
2012,pre_par_ind,3130156,2154272
2012,publ,1221600,971342
2012,priv,297653,280327
2013,todos,7173563,5014864
2013,bra_ama,2996726,2139526
2013,pre_par_ind,4052946,2792648
2014,todos,8722248,5952812
2014,bra_ama,3476809,2429054
2014,pre_par_ind,5105998,3432996
2015,todos,7746427,5609795
2015,bra_ama,3014045,2230811
2015,pre_par_ind,4587587,3279852
2016,todos,8627179,5824009
2016,bra_ama,3248524,2242616
2016,pre_par_ind,5213817,3476650
2017,todos,6731278,4427959
2017,bra_ama,2510573,1721831
2017,pre_par_ind,4093199,2623598
2018,todos,5513733,3894573
2018,bra_ama,2105265,1528659
2018,pre_par_ind,3294034,2287921
2019,todos,5095171,3704204
2019,bra_ama,1947907,1460499
2019,pre_par_ind,3044065,2170212
2020,todos,5783109,2590358
2020,bra_ama,2136155,1042764
2020,pre_par_ind,3530071,1497571
2021,todos,3389832,2240046
2021,bra_ama,1430747,1025250
2021,pre_par_ind,1887931,1171027
